,id,from,at,to,open,close,min,max,volume
2021-07-27 21:00:00,1191677.0,1627419600.0,1.6274196600385326e+18,1627419660.0,0.67339,0.67331,0.67331,0.67341,7.0
2021-07-27 21:01:00,1191678.0,1627419660.0,1.627419720037483e+18,1627419720.0,0.67331,0.67331,0.67331,0.67331,0.0
2021-07-27 21:02:00,1191679.0,1627419720.0,1.6274197800482793e+18,1627419780.0,0.67331,0.67343,0.67331,0.67343,3.0
2021-07-27 21:03:00,1191680.0,1627419780.0,1.627419840048288e+18,1627419840.0,0.6734,0.67341,0.6734,0.67341,2.0
2021-07-27 21:04:00,1191681.0,1627419840.0,1.627419900048314e+18,1627419900.0,0.67341,0.67341,0.67341,0.67341,0.0
2021-07-27 21:05:00,1191682.0,1627419900.0,1.627419960001242e+18,1627419960.0,0.67341,0.67301,0.67301,0.67341,2.0
2021-07-27 21:06:00,1191683.0,1627419960.0,1.6274200200012836e+18,1627420020.0,0.67301,0.67315,0.67301,0.67315,2.0
2021-07-27 21:07:00,1191684.0,1627420020.0,1.627420080048315e+18,1627420080.0,0.67307,0.67323,0.67307,0.67324,5.0
2021-07-27 21:08:00,1191685.0,1627420080.0,1.6274201400482752e+18,1627420140.0,0.67323,0.67323,0.67323,0.67323,0.0
2021-07-27 21:09:00,1191686.0,1627420140.0,1.6274202000353457e+18,1627420200.0,0.67323,0.67313,0.67313,0.67323,1.0
2021-07-27 21:10:00,1191687.0,1627420200.0,1.6274202600362888e+18,1627420260.0,0.67313,0.67311,0.67311,0.67313,1.0
2021-07-27 21:11:00,1191688.0,1627420260.0,1.6274203200063992e+18,1627420320.0,0.67311,0.67323,0.67311,0.67333,3.0
2021-07-27 21:12:00,1191689.0,1627420320.0,1.6274203800483087e+18,1627420380.0,0.67323,0.67325,0.67323,0.67325,1.0
2021-07-27 21:13:00,1191690.0,1627420380.0,1.6274204400341658e+18,1627420440.0,0.67325,0.67301,0.67301,0.67325,1.0
2021-07-27 21:14:00,1191691.0,1627420440.0,1.6274205000483215e+18,1627420500.0,0.67301,0.67313,0.67301,0.67323,10.0
2021-07-27 21:15:00,1191692.0,1627420500.0,1.6274205600038758e+18,1627420560.0,0.67313,0.67323,0.67313,0.67323,1.0
2021-07-27 21:16:00,1191693.0,1627420560.0,1.6274206200365555e+18,1627420620.0,0.67323,0.67307,0.67307,0.67323,2.0
2021-07-27 21:17:00,1191694.0,1627420620.0,1.6274206800408748e+18,1627420680.0,0.67301,0.67297,0.67297,0.67301,8.0
2021-07-27 21:18:00,1191695.0,1627420680.0,1.6274207400374034e+18,1627420740.0,0.67297,0.67297,0.67297,0.67297,0.0
2021-07-27 21:19:00,1191696.0,1627420740.0,1.6274208000422492e+18,1627420800.0,0.67297,0.67297,0.67297,0.67297,0.0
2021-07-27 21:20:00,1191697.0,1627420800.0,1.6274208600353482e+18,1627420860.0,0.67297,0.67297,0.67297,0.67297,0.0
2021-07-27 21:21:00,1191698.0,1627420860.0,1.6274209200388972e+18,1627420920.0,0.67297,0.67297,0.67297,0.67297,0.0
2021-07-27 21:22:00,1191699.0,1627420920.0,1.6274209800483213e+18,1627420980.0,0.67297,0.67301,0.67297,0.67301,1.0
2021-07-27 21:23:00,1191700.0,1627420980.0,1.6274210400367514e+18,1627421040.0,0.67301,0.67301,0.67301,0.67301,0.0
2021-07-27 21:24:00,1191701.0,1627421040.0,1.627421100048314e+18,1627421100.0,0.67301,0.67303,0.67301,0.67303,1.0
2021-07-27 21:25:00,1191702.0,1627421100.0,1.6274211600379889e+18,1627421160.0,0.67303,0.67293,0.67293,0.67303,1.0
2021-07-27 21:26:00,1191703.0,1627421160.0,1.62742122004832e+18,1627421220.0,0.67293,0.67299,0.67293,0.67299,1.0
2021-07-27 21:27:00,1191704.0,1627421220.0,1.627421280048295e+18,1627421280.0,0.67299,0.67299,0.67299,0.67299,0.0
2021-07-27 21:28:00,1191705.0,1627421280.0,1.627421340048317e+18,1627421340.0,0.67299,0.67311,0.67299,0.67311,1.0
2021-07-27 21:29:00,1191706.0,1627421340.0,1.6274214000483297e+18,1627421400.0,0.67311,0.67313,0.67311,0.67313,1.0
2021-07-27 21:30:00,1191707.0,1627421400.0,1.627421460040839e+18,1627421460.0,0.67313,0.67313,0.67313,0.67313,0.0
2021-07-27 21:31:00,1191708.0,1627421460.0,1.6274215200483484e+18,1627421520.0,0.67313,0.67313,0.67313,0.67313,0.0
2021-07-27 21:32:00,1191709.0,1627421520.0,1.6274215800488133e+18,1627421580.0,0.67313,0.67315,0.67313,0.67315,1.0
2021-07-27 21:33:00,1191710.0,1627421580.0,1.6274216400355046e+18,1627421640.0,0.67315,0.67325,0.67315,0.67325,3.0
2021-07-27 21:34:00,1191711.0,1627421640.0,1.6274217000335813e+18,1627421700.0,0.67315,0.67309,0.67309,0.67321,4.0
2021-07-27 21:35:00,1191712.0,1627421700.0,1.6274217600410534e+18,1627421760.0,0.67309,0.67307,0.67307,0.67309,1.0
2021-07-27 21:36:00,1191713.0,1627421760.0,1.6274218200483034e+18,1627421820.0,0.67307,0.67298,0.67292,0.67307,4.0
2021-07-27 21:37:00,1191714.0,1627421820.0,1.6274218800483244e+18,1627421880.0,0.67298,0.67298,0.67298,0.67299,4.0
2021-07-27 21:38:00,1191715.0,1627421880.0,1.627421940037901e+18,1627421940.0,0.67284,0.67286,0.67284,0.67295,8.0
2021-07-27 21:39:00,1191716.0,1627421940.0,1.6274220000482964e+18,1627422000.0,0.67286,0.67286,0.67286,0.67293,7.0
2021-07-27 21:40:00,1191717.0,1627422000.0,1.6274220600356442e+18,1627422060.0,0.67286,0.67287,0.67286,0.67287,1.0
2021-07-27 21:41:00,1191718.0,1627422060.0,1.6274221200442217e+18,1627422120.0,0.67289,0.67294,0.67289,0.67296,4.0
2021-07-27 21:42:00,1191719.0,1627422120.0,1.6274221800457933e+18,1627422180.0,0.67294,0.67299,0.67293,0.67299,3.0
2021-07-27 21:43:00,1191720.0,1627422180.0,1.627422240048316e+18,1627422240.0,0.67299,0.67295,0.67293,0.673,3.0
