,id,from,at,to,open,close,min,max,volume
2021-07-27 17:00:00,1338944.0,1627405200.0,1.6274052600001682e+18,1627405260.0,1.2681,1.26819,1.26808,1.26819,31.0
2021-07-27 17:01:00,1338945.0,1627405260.0,1.6274053200042166e+18,1627405320.0,1.26819,1.26817,1.26816,1.26821,27.0
2021-07-27 17:02:00,1338946.0,1627405320.0,1.6274053800009902e+18,1627405380.0,1.26815,1.26836,1.26814,1.26837,42.0
2021-07-27 17:03:00,1338947.0,1627405380.0,1.627405440005485e+18,1627405440.0,1.26837,1.26841,1.26833,1.26842,32.0
2021-07-27 17:04:00,1338948.0,1627405440.0,1.6274055000003443e+18,1627405500.0,1.26841,1.26834,1.26831,1.26843,35.0
2021-07-27 17:05:00,1338949.0,1627405500.0,1.6274055600049052e+18,1627405560.0,1.26835,1.26832,1.26829,1.26845,54.0
2021-07-27 17:06:00,1338950.0,1627405560.0,1.627405620002783e+18,1627405620.0,1.26832,1.26839,1.26831,1.26845,78.0
2021-07-27 17:07:00,1338951.0,1627405620.0,1.6274056800027323e+18,1627405680.0,1.26838,1.26836,1.26831,1.26845,43.0
2021-07-27 17:08:00,1338952.0,1627405680.0,1.6274057400017242e+18,1627405740.0,1.26836,1.26839,1.26831,1.26843,43.0
2021-07-27 17:09:00,1338953.0,1627405740.0,1.6274058000003318e+18,1627405800.0,1.26841,1.26835,1.26823,1.26841,50.0
2021-07-27 17:10:00,1338954.0,1627405800.0,1.627405860014692e+18,1627405860.0,1.26834,1.26833,1.26827,1.26835,45.0
2021-07-27 17:11:00,1338955.0,1627405860.0,1.6274059200079521e+18,1627405920.0,1.26834,1.26817,1.26816,1.26835,29.0
2021-07-27 17:12:00,1338956.0,1627405920.0,1.6274059800019103e+18,1627405980.0,1.26817,1.26813,1.26813,1.26827,46.0
2021-07-27 17:13:00,1338957.0,1627405980.0,1.6274060400049546e+18,1627406040.0,1.26813,1.26814,1.26811,1.26818,34.0
2021-07-27 17:14:00,1338958.0,1627406040.0,1.627406100000191e+18,1627406100.0,1.26815,1.2682,1.26813,1.26829,36.0
2021-07-27 17:15:00,1338959.0,1627406100.0,1.6274061600020736e+18,1627406160.0,1.26819,1.26827,1.26817,1.26827,34.0
2021-07-27 17:16:00,1338960.0,1627406160.0,1.6274062200006766e+18,1627406220.0,1.26828,1.26826,1.26822,1.26834,30.0
2021-07-27 17:17:00,1338961.0,1627406220.0,1.6274062800001313e+18,1627406280.0,1.26825,1.26813,1.26812,1.26827,48.0
2021-07-27 17:18:00,1338962.0,1627406280.0,1.6274063400060905e+18,1627406340.0,1.26813,1.26799,1.26793,1.26815,30.0
2021-07-27 17:19:00,1338963.0,1627406340.0,1.6274064000064253e+18,1627406400.0,1.268,1.26799,1.26794,1.26801,37.0
2021-07-27 17:20:00,1338964.0,1627406400.0,1.6274064600042552e+18,1627406460.0,1.268,1.26798,1.26796,1.26802,31.0
2021-07-27 17:21:00,1338965.0,1627406460.0,1.6274065200006136e+18,1627406520.0,1.26798,1.26789,1.26789,1.26799,30.0
2021-07-27 17:22:00,1338966.0,1627406520.0,1.6274065800008594e+18,1627406580.0,1.26789,1.26793,1.26787,1.26795,30.0
2021-07-27 17:23:00,1338967.0,1627406580.0,1.6274066400056689e+18,1627406640.0,1.26794,1.26794,1.26791,1.26795,20.0
2021-07-27 17:24:00,1338968.0,1627406640.0,1.6274067000007078e+18,1627406700.0,1.26795,1.26799,1.26791,1.268,33.0
2021-07-27 17:25:00,1338969.0,1627406700.0,1.6274067600006543e+18,1627406760.0,1.26799,1.26801,1.26795,1.26805,30.0
2021-07-27 17:26:00,1338970.0,1627406760.0,1.6274068200005148e+18,1627406820.0,1.26801,1.268,1.26795,1.26802,15.0
2021-07-27 17:27:00,1338971.0,1627406820.0,1.6274068800003955e+18,1627406880.0,1.268,1.26806,1.26799,1.26813,28.0
2021-07-27 17:28:00,1338972.0,1627406880.0,1.6274069400003476e+18,1627406940.0,1.26806,1.26811,1.26801,1.26813,51.0
2021-07-27 17:29:00,1338973.0,1627406940.0,1.6274070000012035e+18,1627407000.0,1.26813,1.26821,1.26813,1.26824,41.0
2021-07-27 17:30:00,1338974.0,1627407000.0,1.627407060000048e+18,1627407060.0,1.2682,1.26817,1.26811,1.26821,45.0
2021-07-27 17:31:00,1338975.0,1627407060.0,1.6274071200075433e+18,1627407120.0,1.26817,1.26811,1.26811,1.26819,15.0
2021-07-27 17:32:00,1338976.0,1627407120.0,1.6274071800070554e+18,1627407180.0,1.26811,1.26811,1.26809,1.26812,6.0
2021-07-27 17:33:00,1338977.0,1627407180.0,1.6274072400000248e+18,1627407240.0,1.26811,1.26811,1.26807,1.26815,29.0
2021-07-27 17:34:00,1338978.0,1627407240.0,1.6274073000003894e+18,1627407300.0,1.26813,1.26808,1.26805,1.26816,18.0
2021-07-27 17:35:00,1338979.0,1627407300.0,1.627407360004369e+18,1627407360.0,1.26807,1.26833,1.26807,1.26833,31.0
2021-07-27 17:36:00,1338980.0,1627407360.0,1.6274074200054702e+18,1627407420.0,1.26832,1.26835,1.26827,1.26843,49.0
2021-07-27 17:37:00,1338981.0,1627407420.0,1.6274074800230088e+18,1627407480.0,1.26835,1.26835,1.26831,1.26839,51.0
2021-07-27 17:38:00,1338982.0,1627407480.0,1.6274075400073413e+18,1627407540.0,1.26835,1.26837,1.26832,1.26839,19.0
2021-07-27 17:39:00,1338983.0,1627407540.0,1.6274076000020452e+18,1627407600.0,1.26837,1.26841,1.26835,1.26843,30.0
2021-07-27 17:40:00,1338984.0,1627407600.0,1.6274076600003978e+18,1627407660.0,1.26841,1.26841,1.26833,1.26843,37.0
2021-07-27 17:41:00,1338985.0,1627407660.0,1.627407720003015e+18,1627407720.0,1.26843,1.26838,1.26835,1.26843,33.0
2021-07-27 17:42:00,1338986.0,1627407720.0,1.6274077800001628e+18,1627407780.0,1.26838,1.26835,1.26834,1.26841,17.0
2021-07-27 17:43:00,1338987.0,1627407780.0,1.62740784000992e+18,1627407840.0,1.26835,1.26841,1.26833,1.26841,28.0
2021-07-27 17:44:00,1338988.0,1627407840.0,1.6274079000057587e+18,1627407900.0,1.26841,1.26847,1.26835,1.26847,36.0
2021-07-27 17:45:00,1338989.0,1627407900.0,1.6274079600000212e+18,1627407960.0,1.26847,1.26845,1.26843,1.26851,40.0
2021-07-27 17:46:00,1338990.0,1627407960.0,1.627408020003287e+18,1627408020.0,1.26845,1.26856,1.26843,1.26856,27.0
2021-07-27 17:47:00,1338991.0,1627408020.0,1.6274080800212314e+18,1627408080.0,1.26856,1.26863,1.26855,1.26863,29.0
2021-07-27 17:48:00,1338992.0,1627408080.0,1.6274081400013266e+18,1627408140.0,1.26863,1.26869,1.26862,1.26873,30.0
2021-07-27 17:49:00,1338993.0,1627408140.0,1.6274082000159685e+18,1627408200.0,1.26869,1.2688,1.26869,1.26881,41.0
