,id,from,at,to,open,close,min,max,volume
2021-07-27 16:00:00,1333124.0,1627401600.0,1.627401660000965e+18,1627401660.0,8.86916,8.87655,8.86897,8.8772,242.0
2021-07-27 16:01:00,1333125.0,1627401660.0,1.6274017200022879e+18,1627401720.0,8.8767,8.87134,8.86943,8.87723,216.0
2021-07-27 16:02:00,1333126.0,1627401720.0,1.627401780000031e+18,1627401780.0,8.87129,8.87547,8.87081,8.87547,162.0
2021-07-27 16:03:00,1333127.0,1627401780.0,1.627401840006612e+18,1627401840.0,8.87545,8.87095,8.86779,8.87793,219.0
2021-07-27 16:04:00,1333128.0,1627401840.0,1.627401900004311e+18,1627401900.0,8.8711,8.8727,8.87095,8.87405,184.0
2021-07-27 16:05:00,1333129.0,1627401900.0,1.6274019600013448e+18,1627401960.0,8.8727,8.87282,8.87149,8.87319,151.0
2021-07-27 16:06:00,1333130.0,1627401960.0,1.627402020000396e+18,1627402020.0,8.87287,8.87243,8.87239,8.87365,90.0
2021-07-27 16:07:00,1333131.0,1627402020.0,1.6274020800000502e+18,1627402080.0,8.87243,8.87069,8.87023,8.87243,79.0
2021-07-27 16:08:00,1333132.0,1627402080.0,1.6274021400021455e+18,1627402140.0,8.87068,8.87065,8.87009,8.87079,66.0
2021-07-27 16:09:00,1333133.0,1627402140.0,1.6274022000000507e+18,1627402200.0,8.87046,8.87262,8.87046,8.87321,85.0
2021-07-27 16:10:00,1333134.0,1627402200.0,1.6274022600010732e+18,1627402260.0,8.87267,8.87628,8.87267,8.8768,98.0
2021-07-27 16:11:00,1333135.0,1627402260.0,1.6274023200025715e+18,1627402320.0,8.87628,8.87723,8.87607,8.87754,64.0
2021-07-27 16:12:00,1333136.0,1627402320.0,1.6274023800012378e+18,1627402380.0,8.87731,8.87659,8.87649,8.87754,42.0
2021-07-27 16:13:00,1333137.0,1627402380.0,1.6274024400003968e+18,1627402440.0,8.87659,8.87633,8.87573,8.87675,49.0
2021-07-27 16:14:00,1333138.0,1627402440.0,1.627402500004046e+18,1627402500.0,8.87633,8.87652,8.87609,8.87665,31.0
2021-07-27 16:15:00,1333139.0,1627402500.0,1.6274025600069778e+18,1627402560.0,8.87652,8.87613,8.87556,8.87687,46.0
2021-07-27 16:16:00,1333140.0,1627402560.0,1.6274026200017956e+18,1627402620.0,8.87623,8.87547,8.87547,8.87625,78.0
2021-07-27 16:17:00,1333141.0,1627402620.0,1.6274026800000538e+18,1627402680.0,8.87539,8.87467,8.87443,8.87581,49.0
2021-07-27 16:18:00,1333142.0,1627402680.0,1.6274027400000453e+18,1627402740.0,8.87471,8.87599,8.87471,8.8761,71.0
2021-07-27 16:19:00,1333143.0,1627402740.0,1.6274028000018516e+18,1627402800.0,8.87607,8.87886,8.87607,8.87941,108.0
2021-07-27 16:20:00,1333144.0,1627402800.0,1.6274028600018314e+18,1627402860.0,8.87886,8.87803,8.87784,8.87895,52.0
2021-07-27 16:21:00,1333145.0,1627402860.0,1.627402920002153e+18,1627402920.0,8.87803,8.87763,8.87753,8.87831,52.0
2021-07-27 16:22:00,1333146.0,1627402920.0,1.627402980000001e+18,1627402980.0,8.87768,8.878,8.87724,8.87805,56.0
2021-07-27 16:23:00,1333147.0,1627402980.0,1.6274030400007823e+18,1627403040.0,8.878,8.87807,8.87749,8.8782,62.0
2021-07-27 16:24:00,1333148.0,1627403040.0,1.6274031000042458e+18,1627403100.0,8.8781,8.8772,8.87715,8.8783,71.0
2021-07-27 16:25:00,1333149.0,1627403100.0,1.6274031600028623e+18,1627403160.0,8.8772,8.8759,8.8755,8.87723,72.0
2021-07-27 16:26:00,1333150.0,1627403160.0,1.627403220009982e+18,1627403220.0,8.87595,8.87586,8.8752,8.87623,65.0
2021-07-27 16:27:00,1333151.0,1627403220.0,1.6274032800047575e+18,1627403280.0,8.87589,8.87575,8.87523,8.87613,89.0
2021-07-27 16:28:00,1333152.0,1627403280.0,1.627403340003068e+18,1627403340.0,8.8758,8.8759,8.87515,8.8763,84.0
2021-07-27 16:29:00,1333153.0,1627403340.0,1.6274034000048148e+18,1627403400.0,8.8758,8.87488,8.87467,8.876,75.0
2021-07-27 16:30:00,1333154.0,1627403400.0,1.6274034600002524e+18,1627403460.0,8.87483,8.87454,8.87437,8.87495,66.0
2021-07-27 16:31:00,1333155.0,1627403460.0,1.6274035200001684e+18,1627403520.0,8.87454,8.87188,8.87188,8.87477,145.0
2021-07-27 16:32:00,1333156.0,1627403520.0,1.6274035800004687e+18,1627403580.0,8.8718,8.87105,8.8686,8.87217,207.0
2021-07-27 16:33:00,1333157.0,1627403580.0,1.6274036400003756e+18,1627403640.0,8.87107,8.87375,8.87107,8.87405,107.0
2021-07-27 16:34:00,1333158.0,1627403640.0,1.627403700000015e+18,1627403700.0,8.87375,8.87471,8.87341,8.87507,69.0
2021-07-27 16:35:00,1333159.0,1627403700.0,1.6274037600024832e+18,1627403760.0,8.87471,8.8738,8.87379,8.87485,43.0
2021-07-27 16:36:00,1333160.0,1627403760.0,1.6274038200002304e+18,1627403820.0,8.8738,8.87393,8.87341,8.87453,41.0
2021-07-27 16:37:00,1333161.0,1627403820.0,1.6274038800149676e+18,1627403880.0,8.87403,8.87673,8.87344,8.8779,195.0
2021-07-27 16:38:00,1333162.0,1627403880.0,1.6274039400159114e+18,1627403940.0,8.87673,8.87567,8.87279,8.87713,117.0
2021-07-27 16:39:00,1333163.0,1627403940.0,1.6274040000024824e+18,1627404000.0,8.87567,8.87357,8.87018,8.87577,143.0
2021-07-27 16:40:00,1333164.0,1627404000.0,1.6274040600000466e+18,1627404060.0,8.87357,8.87922,8.87307,8.87922,128.0
2021-07-27 16:41:00,1333165.0,1627404060.0,1.627404120001578e+18,1627404120.0,8.87953,8.87665,8.87665,8.87967,132.0
2021-07-27 16:42:00,1333166.0,1627404120.0,1.6274041800045988e+18,1627404180.0,8.87675,8.8735,8.87343,8.87775,202.0
2021-07-27 16:43:00,1333167.0,1627404180.0,1.6274042400005489e+18,1627404240.0,8.8736,8.87274,8.87035,8.87404,107.0
2021-07-27 16:44:00,1333168.0,1627404240.0,1.627404300000047e+18,1627404300.0,8.87274,8.86851,8.86832,8.87301,168.0
2021-07-27 16:45:00,1333169.0,1627404300.0,1.627404360001013e+18,1627404360.0,8.86855,8.86901,8.86813,8.87023,116.0
2021-07-27 16:46:00,1333170.0,1627404360.0,1.6274044200000358e+18,1627404420.0,8.86895,8.86865,8.86833,8.86917,52.0
2021-07-27 16:47:00,1333171.0,1627404420.0,1.627404480000134e+18,1627404480.0,8.86859,8.86868,8.86844,8.86885,33.0
2021-07-27 16:48:00,1333172.0,1627404480.0,1.627404540001094e+18,1627404540.0,8.86867,8.87081,8.86842,8.87105,76.0
2021-07-27 16:49:00,1333173.0,1627404540.0,1.6274046000001905e+18,1627404600.0,8.87077,8.87065,8.8705,8.87243,47.0
2021-07-27 16:50:00,1333174.0,1627404600.0,1.627404660000439e+18,1627404660.0,8.87055,8.87075,8.87033,8.8723,142.0
2021-07-27 16:51:00,1333175.0,1627404660.0,1.6274047200036861e+18,1627404720.0,8.8708,8.87086,8.87001,8.87089,62.0
2021-07-27 16:52:00,1333176.0,1627404720.0,1.6274047800000061e+18,1627404780.0,8.87091,8.87774,8.87067,8.87795,118.0
2021-07-27 16:53:00,1333177.0,1627404780.0,1.6274048400072364e+18,1627404840.0,8.8778,8.8735,8.8732,8.8778,111.0
2021-07-27 16:54:00,1333178.0,1627404840.0,1.6274049000001815e+18,1627404900.0,8.8735,8.875,8.87235,8.8751,121.0
2021-07-27 16:55:00,1333179.0,1627404900.0,1.627404960002978e+18,1627404960.0,8.87501,8.87649,8.87493,8.87723,111.0
2021-07-27 16:56:00,1333180.0,1627404960.0,1.62740502000011e+18,1627405020.0,8.87643,8.87525,8.87525,8.87643,61.0
2021-07-27 16:57:00,1333181.0,1627405020.0,1.6274050800011597e+18,1627405080.0,8.87525,8.87335,8.87285,8.87535,117.0
2021-07-27 16:58:00,1333182.0,1627405080.0,1.6274051400015076e+18,1627405140.0,8.87341,8.87298,8.8725,8.87359,86.0
